has_certification,gender,study_field,height_cm,weight_kg,10th_mark,12th_mark,ug_score,interests,daily_studing_time,prefer_to_study_in,salary_expectation,do_you_like_your_degree,willingness_to_pursue_a_career_based_on_their_degree,social_medai_video,travelling_time,stress_level,financial_status,part_time_job
Yes,Male,BCA,190.0,70.0,89.8,63.3,73.3,Sports,0 - 30 minute,Anytime,50000.0,Yes,50.0,30 - 60 Minute,1 - 1.30 hour,bad,good,No
Yes,Male,BCA,160.0,60.0,89.0,69.0,80.0,Video Games,3 - 4 hour,Morning,20000.0,Yes,75.0,1 - 1.30 hour,more than 3 hour,good,good,Yes
Yes,Male,BCA,150.0,74.0,75.0,55.0,60.0,Sports,30 - 60 minute,Morning,20000.0,Yes,75.0,1 - 1.30 hour,0 - 30 minutes,good,good,No
Yes,Female,BCA,175.0,65.0,93.0,66.0,85.0,Reading books,1 - 2 Hour,Anytime,20000.0,Yes,100.0,1 - 30 Minute,30 - 60 minutes,good,good,No
Yes,Male,BCA,172.0,91.0,92.0,69.0,85.0,Cinema,1 - 2 Hour,Night,15000.0,Yes,75.0,1 - 1.30 hour,1 - 1.30 hour,good,good,No
Yes,Male,BCA,157.0,76.0,88.0,58.0,50.0,Sports,30 - 60 minute,Night,20000.0,Yes,75.0,1 - 1.30 hour,2 - 2.30 hour,bad,good,No
Yes,Male,BCA,100.0,60.0,88.0,70.0,70.0,Reading books,30 - 60 minute,Anytime,18000.0,No,50.0,30 - 60 Minute,2.30 - 3 hour,awful,awful,No
No,Female,BCA,155.0,52.0,7.4,79.0,75.0,Sports,1 - 2 Hour,Night,12000.0,Yes,75.0,1.30 - 2 hour,30 - 60 minutes,good,bad,No
Yes,Female,BCA,156.0,58.0,75.0,70.0,70.0,Cinema,More Than 4 hour,Anytime,10000.0,Yes,75.0,More than 2 hour,30 - 60 minutes,good,good,No
Yes,Male,BCA,106.0,64.0,80.0,70.0,75.0,Sports,0 - 30 minute,Morning,25000.0,Yes,75.0,1 - 1.30 hour,0 - 30 minutes,awful,bad,No
Yes,Male,BCA,170.0,67.0,81.4,69.0,75.0,Cinema,30 - 60 minute,Anytime,25000.0,No,100.0,1.30 - 2 hour,0 - 30 minutes,good,awful,Yes
Yes,Male,BCA,171.0,60.0,78.0,55.0,70.0,Reading books,3 - 4 hour,Anytime,21.0,Yes,100.0,30 - 60 Minute,30 - 60 minutes,awful,good,Yes
No,Male,BCA,177.0,75.0,60.0,60.0,50.0,Cinema,30 - 60 minute,Morning,25000.0,Yes,75.0,1 - 1.30 hour,1 - 1.30 hour,good,bad,No
Yes,Female,BCA,170.0,45.0,75.0,64.0,74.0,Cinema,0 - 30 minute,Anytime,20000.0,No,25.0,More than 2 hour,0 - 30 minutes,good,good,No
Yes,Female,BCA,180.0,75.0,90.2,61.6,85.0,Video Games,1 - 2 Hour,Anytime,35000.0,Yes,75.0,More than 2 hour,0 - 30 minutes,bad,good,No
Yes,Male,BCA,174.0,54.0,80.0,62.0,75.0,Sports,30 - 60 minute,Night,20000.0,Yes,75.0,30 - 60 Minute,2.30 - 3 hour,good,awful,No
No,Male,BCA,172.0,56.0,86.5,65.3,79.5,Sports,0 - 30 minute,Morning,15000.0,Yes,75.0,More than 2 hour,1 - 1.30 hour,good,good,No
Yes,Female,BCA,153.0,50.0,88.8,71.0,85.0,Cinema,3 - 4 hour,Morning,18000.0,Yes,100.0,1 - 1.30 hour,1 - 1.30 hour,good,good,No
Yes,Male,BCA,158.0,75.0,90.0,75.0,70.0,Sports,2 - 3 hour,Night,20000.0,Yes,50.0,1.30 - 2 hour,2 - 2.30 hour,bad,good,No
No,Male,BCA,177.0,70.0,85.0,61.0,75.0,Reading books,2 - 3 hour,Anytime,30000.0,Yes,50.0,30 - 60 Minute,30 - 60 minutes,good,good,No
No,Male,BCA,175.0,65.0,76.0,70.0,7.5,Sports,1 - 2 Hour,Morning,15000.0,No,50.0,1 - 1.30 hour,30 - 60 minutes,good,good,No
Yes,Male,BCA,170.0,70.0,80.0,70.0,70.0,Cinema,3 - 4 hour,Night,50000.0,No,100.0,More than 2 hour,more than 3 hour,bad,good,Yes
Yes,Male,BCA,180.0,80.0,91.0,73.3,85.0,Sports,30 - 60 minute,Morning,25000.0,Yes,100.0,30 - 60 Minute,0 - 30 minutes,good,good,No
Yes,Female,BCA,160.0,42.0,85.0,90.0,85.0,Cinema,30 - 60 minute,Anytime,20000.0,Yes,100.0,1 - 1.30 hour,30 - 60 minutes,good,awful,No
Yes,Male,BCA,170.0,70.0,80.0,60.0,80.0,Sports,2 - 3 hour,Night,25000.0,Yes,75.0,30 - 60 Minute,1 - 1.30 hour,good,good,No
No,Male,BCA,178.0,83.0,85.8,63.66,80.0,Sports,0 - 30 minute,Anytime,20000.0,Yes,75.0,1.30 - 2 hour,0 - 30 minutes,good,good,No
No,Male,BCA,180.0,67.0,80.0,70.0,60.0,Video Games,0 - 30 minute,Anytime,10000.0,Yes,25.0,1 - 30 Minute,0 - 30 minutes,good,good,No
No,Female,BCA,150.0,48.0,75.0,50.0,78.0,Sports,0 - 30 minute,Night,18000.0,Yes,50.0,1 - 1.30 hour,0 - 30 minutes,bad,bad,No
Yes,Female,BCA,170.0,50.0,95.0,75.0,85.0,Reading books,2 - 3 hour,Anytime,25000.0,Yes,50.0,1 - 1.30 hour,1.30 - 2 hour,good,good,No
Yes,Female,BCA,162.0,65.0,95.0,85.0,86.0,Reading books,1 - 2 Hour,Night,15000.0,Yes,50.0,1.30 - 2 hour,30 - 60 minutes,good,good,No
Yes,Male,BCA,170.0,65.0,90.0,64.0,80.0,Reading books,30 - 60 minute,Anytime,20000.0,Yes,75.0,1 - 30 Minute,1 - 1.30 hour,bad,bad,No
Yes,Male,BCA,153.0,63.0,79.4,61.33,80.87,Sports,1 - 2 Hour,Anytime,25000.0,Yes,75.0,1.30 - 2 hour,1 - 1.30 hour,good,bad,No
No,Male,BCA,165.0,84.0,90.0,74.0,74.0,Cinema,30 - 60 minute,Anytime,30000.0,Yes,75.0,30 - 60 Minute,0 - 30 minutes,bad,bad,No
No,Male,BCA,163.0,60.0,77.0,70.0,60.0,Video Games,2 - 3 hour,Anytime,20000.0,Yes,75.0,30 - 60 Minute,2 - 2.30 hour,good,good,No
Yes,Male,BCA,183.0,80.0,80.0,60.0,70.0,Video Games,0 - 30 minute,Anytime,10000.0,Yes,50.0,1 - 30 Minute,0 - 30 minutes,good,bad,No
Yes,Male,BCA,175.0,85.0,90.0,57.0,68.0,Reading books,1 - 2 Hour,Anytime,30000.0,Yes,100.0,0 Minute,30 - 60 minutes,good,bad,No
Yes,Male,BCA,156.0,53.0,84.0,63.0,70.0,Sports,0 - 30 minute,Morning,20000.0,Yes,50.0,More than 2 hour,more than 3 hour,good,bad,No
Yes,Male,BCA,154.0,50.0,86.0,68.0,70.0,Sports,30 - 60 minute,Anytime,20000.0,Yes,100.0,1 - 1.30 hour,1 - 1.30 hour,good,bad,Yes
Yes,Female,BCA,172.0,49.0,94.0,69.0,85.0,Cinema,30 - 60 minute,Anytime,12000.0,Yes,50.0,30 - 60 Minute,2 - 2.30 hour,bad,good,No
Yes,Male,BCA,155.0,52.0,69.0,54.0,50.0,Cinema,30 - 60 minute,Anytime,16000.0,Yes,50.0,30 - 60 Minute,30 - 60 minutes,bad,good,No
Yes,Male,BCA,172.0,72.0,85.0,64.0,80.0,Cinema,0 - 30 minute,Morning,15000.0,No,75.0,1 - 30 Minute,30 - 60 minutes,bad,bad,No
No,Male,BCA,181.0,60.0,88.0,88.0,80.0,Reading books,1 - 2 Hour,Anytime,15000.0,No,50.0,30 - 60 Minute,1.30 - 2 hour,bad,awful,Yes
No,Male,BCA,150.0,65.0,85.0,50.0,70.0,Video Games,30 - 60 minute,Anytime,25000.0,Yes,75.0,1.30 - 2 hour,0 - 30 minutes,bad,bad,No
Yes,Male,BCA,179.0,70.0,69.0,60.0,68.0,Video Games,0 - 30 minute,Night,20000.0,Yes,100.0,30 - 60 Minute,30 - 60 minutes,good,good,No
Yes,Male,BCA,187.0,65.0,85.0,60.0,60.0,Sports,30 - 60 minute,Anytime,17000.0,Yes,75.0,1 - 1.30 hour,2 - 2.30 hour,bad,good,No
Yes,Male,BCA,167.0,80.0,85.0,72.0,70.0,Sports,1 - 2 Hour,Anytime,18000.0,No,50.0,1.30 - 2 hour,1 - 1.30 hour,good,bad,Yes
Yes,Male,BCA,170.0,50.0,70.0,78.0,75.0,Cinema,0 - 30 minute,Anytime,15000.0,Yes,75.0,More than 2 hour,0 - 30 minutes,bad,good,No
Yes,Female,B.com Accounting and Finance ,132.0,57.0,72.0,75.0,80.0,Reading books,2 - 3 hour,Night,20000.0,Yes,75.0,30 - 60 Minute,0 - 30 minutes,good,good,Yes
Yes,Male,BCA,169.0,85.0,80.0,60.0,68.0,Video Games,30 - 60 minute,Night,20000.0,Yes,100.0,1.30 - 2 hour,30 - 60 minutes,bad,good,No
Yes,Male,BCA,150.0,60.0,60.0,68.1,70.0,Sports,30 - 60 minute,Morning,15000.0,Yes,75.0,1 - 1.30 hour,30 - 60 minutes,good,bad,Yes
Yes,Male,BCA,180.0,75.0,84.0,55.0,70.0,Video Games,30 - 60 minute,Anytime,20000.0,Yes,75.0,30 - 60 Minute,30 - 60 minutes,bad,good,No
Yes,Female,BCA,154.0,45.0,72.6,62.6,85.0,Cinema,0 - 30 minute,Night,17000.0,Yes,100.0,30 - 60 Minute,30 - 60 minutes,good,good,No
Yes,Female,BCA,139.0,62.0,91.0,86.0,90.0,Cinema,30 - 60 minute,Morning,20000.0,Yes,75.0,1 - 1.30 hour,0 - 30 minutes,good,good,No
No,Male,BCA,175.0,60.0,90.0,65.0,65.0,Sports,0 - 30 minute,Anytime,20000.0,Yes,75.0,1 - 30 Minute,1 - 1.30 hour,good,bad,No
Yes,Male,BCA,172.0,72.0,78.0,67.0,80.0,Cinema,3 - 4 hour,Anytime,20000.0,Yes,100.0,1 - 30 Minute,1 - 1.30 hour,good,good,No
Yes,Male,BCA,170.0,55.0,91.0,81.0,75.0,Reading books,30 - 60 minute,Anytime,20000.0,Yes,75.0,30 - 60 Minute,1.30 - 2 hour,good,bad,No
No,Male,BCA,170.0,65.0,82.0,55.0,75.0,Cinema,30 - 60 minute,Anytime,25000.0,Yes,50.0,30 - 60 Minute,30 - 60 minutes,good,bad,No
No,Male,BCA,185.0,65.0,80.5,53.0,80.0,Sports,2 - 3 hour,Morning,50000.0,Yes,75.0,1 - 1.30 hour,1.30 - 2 hour,good,awful,No
Yes,Male,BCA,177.0,57.0,75.0,57.0,55.0,Sports,0 - 30 minute,Morning,18000.0,Yes,50.0,1.30 - 2 hour,0 - 30 minutes,good,good,No
No,Male,BCA,170.0,86.0,75.0,68.0,70.0,Sports,0 - 30 minute,Anytime,20000.0,Yes,75.0,1 - 1.30 hour,0 - 30 minutes,good,good,No
Yes,Male,B.com Accounting and Finance ,174.0,65.0,90.0,85.0,82.0,Cinema,1 - 2 Hour,Anytime,5000.0,Yes,50.0,1 - 30 Minute,30 - 60 minutes,good,good,No
Yes,Male,BCA,167.0,72.0,85.0,60.0,60.0,Video Games,2 - 3 hour,Anytime,20000.0,Yes,50.0,1 - 30 Minute,30 - 60 minutes,good,good,No
Yes,Female,BCA,155.0,48.0,84.2,64.8,84.0,Sports,30 - 60 minute,Anytime,20000.0,Yes,75.0,1 - 30 Minute,1.30 - 2 hour,good,good,No
Yes,Male,BCA,134.0,40.0,91.4,65.5,82.96,Cinema,0 - 30 minute,Morning,20000.0,Yes,75.0,More than 2 hour,30 - 60 minutes,good,good,No
No,Male,BCA,159.0,51.0,86.0,72.0,80.0,Reading books,More Than 4 hour,Morning,12500.0,No,75.0,30 - 60 Minute,1 - 1.30 hour,good,bad,No
Yes,Female,BCA,150.0,50.0,85.0,55.0,75.0,Video Games,2 - 3 hour,Anytime,20000.0,Yes,75.0,30 - 60 Minute,1 - 1.30 hour,good,good,Yes
Yes,Female,BCA,150.0,40.0,80.0,60.0,60.0,Sports,30 - 60 minute,Anytime,15000.0,Yes,75.0,More than 2 hour,0 - 30 minutes,good,good,No
Yes,Male,BCA,180.0,85.0,78.0,58.0,69.0,Sports,0 - 30 minute,Morning,12000.0,No,0.0,1 - 30 Minute,30 - 60 minutes,good,good,No
Yes,Male,BCA,120.0,55.0,75.0,65.0,65.0,Sports,30 - 60 minute,Morning,20000.0,Yes,50.0,30 - 60 Minute,0 - 30 minutes,good,good,No
Yes,Male,BCA,182.0,58.0,80.0,60.0,65.0,Sports,1 - 2 Hour,Night,25000.0,Yes,50.0,30 - 60 Minute,30 - 60 minutes,bad,good,No
Yes,Male,BCA,165.0,67.0,90.0,70.0,50.0,Reading books,30 - 60 minute,Morning,15000.0,No,25.0,1 - 30 Minute,more than 3 hour,good,bad,Yes
Yes,Female,B.com Accounting and Finance ,160.0,38.0,80.0,88.0,80.0,Sports,2 - 3 hour,Anytime,10000.0,Yes,100.0,30 - 60 Minute,2 - 2.30 hour,good,good,No
Yes,Male,B.com Accounting and Finance ,170.0,80.0,75.0,90.0,85.0,Sports,More Than 4 hour,Anytime,100000.0,Yes,100.0,30 - 60 Minute,1.30 - 2 hour,good,bad,No
No,Male,BCA,165.0,45.0,50.0,50.0,65.0,Cinema,0 - 30 minute,Night,15000.0,Yes,25.0,1 - 30 Minute,0 - 30 minutes,good,good,Yes
Yes,Female,B.com Accounting and Finance ,148.0,78.0,71.2,79.5,70.0,Cinema,30 - 60 minute,Anytime,5000.0,Yes,50.0,30 - 60 Minute,1 - 1.30 hour,good,bad,No
No,Female,B.com Accounting and Finance ,130.0,35.0,80.2,70.0,12.0,Reading books,More Than 4 hour,Morning,30000.0,No,50.0,30 - 60 Minute,1 - 1.30 hour,good,bad,No
No,Female,BCA,140.0,45.0,85.0,63.0,74.0,Sports,30 - 60 minute,Night,10000.0,Yes,75.0,More than 2 hour,30 - 60 minutes,bad,bad,No
Yes,Male,BCA,175.0,70.0,90.2,72.8,85.0,Video Games,1 - 2 Hour,Morning,20000.0,Yes,75.0,1 - 1.30 hour,1 - 1.30 hour,good,bad,No
No,Male,BCA,175.0,76.0,61.8,68.3,66.3,Sports,2 - 3 hour,Morning,30000.0,Yes,50.0,30 - 60 Minute,1.30 - 2 hour,good,good,No
No,Male,BCA,160.0,70.0,80.0,69.0,60.0,Sports,30 - 60 minute,Morning,20000.0,Yes,50.0,30 - 60 Minute,1 - 1.30 hour,awful,good,No
